LabVIEW Measurement						
Writer_Version	2					
Reader_Version	2					
Separator	Tab					
Decimal_Separator	.					
Multi_Headings	No					
X_Columns	No					
Time_Pref	Relative					
Operator	Lab					
Date	2019/09/27					
Time	14:50:03.3754382133483886719					
***End_of_Header***						
						
Channels	5					
Samples	1	1	1	1	1	
Date	2019/09/27	2019/09/27	2019/09/27	2019/09/27	2019/09/27	
Time	14:50:03.3754382133483886719	14:50:03.3754382133483886719	14:50:03.3754382133483886719	14:50:03.3754382133483886719	14:50:03.3754382133483886719	
X_Dimension	Time	Time	Time	Time	Time	
X0	0	0	0	0	0	
Delta_X	1	1	1	1	1	
***End_of_Header***						
X_Value	Time (s)	Tank A Level	Tank B Level	Volts to Valve	Setpoint Level	Comment
	11.3	-0.447501	0.02321	6.97679	7	
	11.4	-0.447393	0.008533	6.991467	7	
	11.5	-0.44756	-0.012473	7.012473	7	
	11.6	-0.447579	-0.008268	7.008268	7	
	11.7	-0.447825	0.002433	6.997567	7	
	11.8	-0.448218	-0.021747	7.021747	7	
	11.9	-0.448572	-0.004864	7.004864	7	
	12	-0.448965	0.000455	6.999545	7	
	12.1	-0.449289	-0.014013	7.014013	7	
	12.2	-0.450193	0.09777	6.90223	7	
	12.3	-0.450478	0.05452	6.94548	7	
	12.4	-0.45094	0.052251	6.947749	7	
	12.5	-0.451362	0.109876	6.890124	7	
	12.6	-0.451509	0.076421	6.923579	7	
	12.7	-0.451392	0.079981	6.920019	7	
	12.8	-0.451284	0.079304	6.920696	7	
	12.9	-0.451254	0.084374	6.915626	7	
	13	-0.451048	0.10895	6.89105	7	
	13.1	-0.450989	0.126583	6.873417	7	
	13.2	-0.450488	0.30233	6.69767	7	
	13.3	-0.450163	0.325085	6.674915	7	
	13.4	-0.450036	0.336816	6.663184	7	
	13.5	-0.449259	0.314613	6.685387	7	
	13.6	-0.448395	0.320265	6.679735	7	
	13.7	-0.448483	0.266731	6.733269	7	
	13.8	-0.448021	0.304589	6.695411	7	
	13.9	-0.447481	0.35322	6.64678	7	
	14	-0.447589	0.342822	6.657178	7	
	14.1	-0.448297	0.396814	6.603186	7	
	14.2	-0.448346	0.6107	6.3893	7	
	14.3	-0.448994	0.57456	6.42544	7	
	14.4	-0.449731	0.527126	6.472874	7	
	14.5	-0.449662	0.645706	6.354294	7	
	14.6	-0.4498	0.640294	6.359706	7	
	14.7	-0.449161	0.699834	6.300166	7	
	14.8	-0.449201	0.746477	6.253523	7	
	14.9	-0.44922	0.769596	6.230404	7	
	15	-0.448906	0.709889	6.290111	7	
	15.1	-0.449132	0.783867	6.216133	7	
	15.2	-0.449613	0.865006	6.134994	7	
	15.3	-0.449495	0.895962	6.104038	7	
	15.4	-0.449318	0.891622	6.108378	7	
	15.5	-0.449594	0.914147	6.085853	7	
	15.6	-0.449092	1.007777	5.992223	7	
